ID,Category,Recipe Name,Visual Ingredients,Output Filename,AI Image Prompt
hol10,main,️ All-American Beef & Rice Casserole,"seasoned ground beef, brown rice, Diced Tomatoes, cottage cheese, roasted garlic, Yellow Onion (Large)",recipes/hol10.jpg,"Professional food photography of ️ All-American Beef & Rice Casserole. The dish contains only these ingredients: seasoned ground beef, brown rice, Diced Tomatoes, cottage cheese, roasted garlic, Yellow Onion (Large). Overhead flat-lay shot on a clean white marble surface, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
m40,main,Baked Chicken Breast & Potato,"grilled chicken breast, Baby Potatoes, Green Beans (Fresh Or Frozen), roasted garlic, lemon wedge, Fresh Rosemary Or Thyme",recipes/m40.jpg,"Professional food photography of Baked Chicken Breast & Potato. The dish contains only these ingredients: grilled chicken breast, Baby Potatoes, Green Beans (Fresh Or Frozen), roasted garlic, lemon wedge, Fresh Rosemary Or Thyme. Slight overhead angle in a rustic ceramic baking dish on a linen cloth, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
m37,main,Baked Cod & Roasted Baby Potatoes,"cod fillet, Baby Potatoes, Cherry Tomatoes, Zucchini, roasted garlic, lemon wedge",recipes/m37.jpg,"Professional food photography of Baked Cod & Roasted Baby Potatoes. The dish contains only these ingredients: cod fillet, Baby Potatoes, Cherry Tomatoes, Zucchini, roasted garlic, lemon wedge. Slight overhead angle in a rustic ceramic baking dish on a linen cloth, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
hol6,main,BBQ Chicken & Corn Rice Bowl,"grilled chicken, brown rice, Corn (Canned, Drained), Black Beans (Canned, Drained), Diced Tomatoes, greek yogurt, Sugar-Free Bbq Sauce, roasted garlic",recipes/hol6.jpg,"Professional food photography of BBQ Chicken & Corn Rice Bowl. The dish contains only these ingredients: grilled chicken, brown rice, Corn (Canned, Drained), Black Beans (Canned, Drained), Diced Tomatoes, greek yogurt. Overhead flat-lay shot on a clean white marble surface, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
m13,main,Beef Mince & Rice Bowl,"seasoned ground beef, brown rice, cottage cheese, Président Light Mozzarella, Parmesan, Light Sour Cream, greek yogurt, lime wedge",recipes/m13.jpg,"Professional food photography of Beef Mince & Rice Bowl. The dish contains only these ingredients: seasoned ground beef, brown rice, cottage cheese, Président Light Mozzarella, Parmesan, Light Sour Cream. Overhead flat-lay shot on a clean white marble surface, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
m04,main,Beef Mince Bake,"seasoned ground beef, White Potato, Sweet Potato, Broccoli, Zucchini",recipes/m04.jpg,"Professional food photography of Beef Mince Bake. The dish contains only these ingredients: seasoned ground beef, White Potato, Sweet Potato, Broccoli, Zucchini. Slight overhead angle in a rustic ceramic baking dish on a linen cloth, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
m02,main,Big Mac Protein Pasta,"seasoned ground beef, Pasta (Any Shape), greek yogurt, Chopped Tomatoes, Onion, Sugar-Free Ketchup, Sweet Relish, Baby Spinach, Dill Pickles / Gherkins",recipes/m02.jpg,"Professional food photography of Big Mac Protein Pasta. The dish contains only these ingredients: seasoned ground beef, Pasta (Any Shape), greek yogurt, Chopped Tomatoes, Onion, Sugar-Free Ketchup. 45-degree close-up angle in a white ceramic pasta bowl, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
hol4,main,Black Bean & Pumpkin Chilli Chicken Bowl,"grilled chicken, Butternut Pumpkin, Black Beans (Canned, Drained), Diced Tomatoes, Corn (Canned, Drained), roasted garlic",recipes/hol4.jpg,"Professional food photography of Black Bean & Pumpkin Chilli Chicken Bowl. The dish contains only these ingredients: grilled chicken, Butternut Pumpkin, Black Beans (Canned, Drained), Diced Tomatoes, Corn (Canned, Drained), roasted garlic. Overhead flat-lay shot on a clean white marble surface, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
m09,main,Buffalo Ranch Chicken Pasta,"grilled chicken, Beef Bacon (Cooked And Crumbled), Pasta (Rigatoni Or Any), cottage cheese, Président Light Mozzarella, Parmesan, Frank'S Red Hot Wings Sauce, Celery, Baby Spinach",recipes/m09.jpg,"Professional food photography of Buffalo Ranch Chicken Pasta. The dish contains only these ingredients: grilled chicken, Beef Bacon (Cooked And Crumbled), Pasta (Rigatoni Or Any), cottage cheese, Président Light Mozzarella, Parmesan. 45-degree close-up angle in a white ceramic pasta bowl, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
m28,main,Cheeseburger Burritos,"seasoned ground beef, Large Wholemeal Tortilla Wraps, Colby Jack Or Light Cheese (Slices), Romaine Lettuce, White Onion, Light Mayonnaise, Ketchup",recipes/m28.jpg,"Professional food photography of Cheeseburger Burritos. The dish contains only these ingredients: seasoned ground beef, Large Wholemeal Tortilla Wraps, Colby Jack Or Light Cheese (Slices), Romaine Lettuce, White Onion, Light Mayonnaise. Overhead flat-lay shot on a clean white marble surface, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
